
Predictions were generated on 24-Feb-2026 at 21:59:04 using OpenFAST, compiled on Feb 11 2025 at 13:30:00 as a 64-bit application using single precision at commit v4.0.2
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #26: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time	Wind1VelX	Wind1VelY	Wind1VelZ	BldPitch1	BldPitch2	BldPitch3	Azimuth	RotSpeed	NacYaw	GenSpeed	TTDspFA	TTDspSS	TTDspTwst	RotTorq	LSSGagMya	LSSGagMza	YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt	RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	TipDxb1	TipDyb1	TipDzb1	RootFxb2	RootFyb2	RootFzb2	RootMxb2	RootMyb2	RootMzb2	TipDxb2	TipDyb2	TipDzb2	RootFxb3	RootFyb3	RootFzb3	RootMxb3	RootMyb3	RootMzb3	TipDxb3	TipDyb3	TipDzb3	GenPwr	GenTq
(s)	(m/s)	(m/s)	(m/s)	(deg)	(deg)	(deg)	(deg)	(rpm)	(deg)	(rpm)	(m)	(m)	(deg)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(m)	(m)	(m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(m)	(m)	(m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(m)	(m)	(m)	(kW)	(kN-m)
    0.0000	 4.030E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 1.210E+01	 0.000E+00	 1.174E+03	 0.000E+00	 0.000E+00	 0.000E+00	-4.265E-06	-1.924E+03	-6.760E+01	 1.286E+01	-2.525E-01	-3.320E+03	-5.460E+00	-3.985E+02	-6.793E+01	-1.505E+01	 1.719E-01	-6.727E+03	-3.135E+00	-3.413E+02	-6.793E+01	 1.392E+01	-5.978E-02	 4.527E+02	-5.965E-01	 1.261E+02	-1.845E-07	 0.000E+00	 0.000E+00	 0.000E+00	 1.552E+01	-9.074E+01	 7.061E+02	 8.198E+02	 1.056E+02	-1.508E-05	 0.000E+00	 0.000E+00	 0.000E+00	 1.871E+01	 9.061E+01	 7.060E+02	-8.201E+02	 1.788E+02	-4.622E-05	 0.000E+00	 0.000E+00	 0.000E+00	 5.000E+03	 4.309E+01
    0.1000	 4.030E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 7.224E+00	 1.189E+01	 0.000E+00	 1.118E+03	-1.066E-03	-3.341E-04	 0.000E+00	 2.743E+03	-2.006E+03	 1.141E+02	-3.489E+00	 8.990E+01	-3.348E+03	 2.572E+03	-6.354E+02	-2.803E+02	 2.341E+01	-2.476E+01	-6.755E+03	 2.467E+01	 5.972E+02	-2.803E+02	 1.941E+01	-6.252E+01	 4.462E+02	 9.209E+02	 3.906E+02	-5.698E+01	 1.628E-01	-4.841E-02	-3.866E-04	 2.173E+01	-1.523E+02	 7.272E+02	 2.097E+03	 3.369E+02	-5.807E+01	 1.856E-01	-1.306E-01	-6.905E-04	 2.551E+01	 5.704E+01	 6.742E+02	-5.625E+02	 4.510E+02	-5.346E+01	 1.946E-01	 4.015E-02	-6.082E-04	 4.782E+03	 4.329E+01
    0.2000	 4.030E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 1.425E+01	 1.163E+01	 0.000E+00	 1.113E+03	-3.730E-03	-2.697E-03	 0.000E+00	 4.886E+03	-2.191E+03	 3.392E+02	-6.253E+00	 4.078E+01	-3.411E+03	 4.773E+03	-1.053E+03	-5.368E+02	 4.128E+01	 1.692E+02	-6.819E+03	-5.487E+03	 8.105E+02	-5.368E+02	 3.457E+01	-6.651E+01	 4.380E+02	 1.957E+03	 1.002E+03	-6.407E+01	 5.867E-01	-3.474E-01	-6.137E-03	 3.508E+01	-1.594E+02	 7.400E+02	 3.947E+03	 9.238E+02	-7.024E+01	 7.266E-01	-6.206E-01	-1.192E-02	 3.903E+01	 1.128E+02	 6.314E+02	-1.186E+03	 1.141E+03	-5.317E+01	 7.248E-01	-1.134E-02	-8.022E-03	 4.750E+03	 4.315E+01
    0.3000	 4.030E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 2.130E+01	 1.186E+01	 0.000E+00	 1.140E+03	-6.928E-03	-7.490E-03	 0.000E+00	 6.178E+03	-2.700E+03	 5.513E+02	 3.158E+01	 4.633E+01	-3.475E+03	 6.004E+03	-1.614E+03	-9.842E+02	-7.992E+00	 2.055E+02	-6.883E+03	-6.229E+03	-8.660E+02	-9.843E+02	 4.821E+01	-9.440E+01	 4.403E+02	 2.852E+03	 1.653E+03	-7.430E+01	 1.253E+00	-5.516E-01	-2.681E-02	 5.589E+01	-1.865E+02	 7.394E+02	 5.500E+03	 1.942E+03	-9.801E+01	 1.539E+00	-9.926E-01	-4.505E-02	 6.200E+01	 1.498E+02	 6.017E+02	-2.362E+03	 2.223E+03	-4.495E+01	 1.474E+00	 1.206E-01	-3.295E-02	 4.695E+03	 4.165E+01
    0.4000	 4.030E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 2.841E+01	 1.178E+01	 0.000E+00	 1.176E+03	-9.575E-03	-1.434E-02	 0.000E+00	 4.897E+03	-3.642E+03	 1.042E+03	 5.414E+01	 7.272E+01	-3.516E+03	 4.647E+03	-2.664E+03	-1.347E+03	 2.012E+00	 5.701E+01	-6.924E+03	-1.092E+03	-7.964E+02	-1.347E+03	 5.264E+01	-1.281E+02	 4.349E+02	 3.011E+03	 2.320E+03	-7.231E+01	 2.096E+00	-5.527E-01	-7.131E-02	 1.005E+02	-2.032E+02	 7.252E+02	 5.611E+03	 3.611E+03	-1.078E+02	 2.358E+00	-1.016E+00	-8.915E-02	 9.587E+01	 1.720E+02	 5.740E+02	-3.987E+03	 3.628E+03	-1.287E+01	 2.246E+00	 4.247E-01	-7.645E-02	 4.787E+03	 4.120E+01
    0.5000	 4.030E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 3.544E+01	 1.170E+01	 0.000E+00	 1.159E+03	-9.730E-03	-2.191E-02	 0.000E+00	 1.663E+03	-3.861E+03	 1.715E+03	 3.583E+01	 6.368E+00	-3.522E+03	 1.576E+03	-3.222E+03	-1.195E+03	 7.860E+01	-2.483E+01	-6.929E+03	 2.773E+03	 1.335E+03	-1.196E+03	 7.395E+01	-1.219E+02	 4.345E+02	 2.706E+03	 3.467E+03	-7.198E+01	 2.875E+00	-5.614E-01	-1.285E-01	 1.491E+02	-1.462E+02	 7.171E+02	 4.157E+03	 5.283E+03	-9.880E+01	 3.031E+00	-8.586E-01	-1.341E-01	 1.259E+02	 2.173E+02	 5.505E+02	-5.286E+03	 4.893E+03	 1.344E+01	 2.883E+00	 5.781E-01	-1.240E-01	 4.825E+03	 4.210E+01
    0.6000	 4.030E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 4.242E+01	 1.151E+01	 0.000E+00	 1.108E+03	-4.521E-03	-2.818E-02	 0.000E+00	 1.365E+03	-2.743E+03	 2.129E+03	 5.564E+01	 2.913E+01	-3.488E+03	 1.290E+03	-2.354E+03	-5.584E+02	 3.929E+01	-1.122E+02	-6.896E+03	 5.893E+03	 7.559E+02	-5.585E+02	 1.174E+02	-1.637E+02	 4.382E+02	 3.217E+03	 4.918E+03	-6.690E+01	 3.350E+00	-5.951E-01	-1.654E-01	 1.653E+02	-1.181E+02	 7.045E+02	 2.630E+03	 6.072E+03	-6.247E+01	 3.528E+00	-5.720E-01	-1.762E-01	 1.357E+02	 1.790E+02	 5.354E+02	-4.676E+03	 5.434E+03	 2.363E+01	 3.270E+00	 5.211E-01	-1.572E-01	 4.481E+03	 4.091E+01
    0.7000	 4.030E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 4.924E+01	 1.125E+01	 0.000E+00	 1.072E+03	 7.997E-03	-3.325E-02	 0.000E+00	 2.716E+03	-1.064E+03	 2.217E+03	 1.083E+02	 1.270E+00	-3.441E+03	 2.770E+03	-9.023E+02	 3.871E+02	-5.820E+01	-1.287E+01	-6.848E+03	 3.389E+03	-6.214E+02	 3.871E+02	 1.580E+02	-1.750E+02	 4.435E+02	 4.133E+03	 5.960E+03	-9.549E+01	 3.447E+00	-8.092E-01	-1.701E-01	 1.517E+02	-5.146E+01	 6.927E+02	 1.187E+03	 5.893E+03	-5.062E+01	 3.681E+00	-4.099E-01	-1.938E-01	 1.338E+02	 1.422E+02	 5.155E+02	-2.742E+03	 5.306E+03	-1.863E+01	 3.240E+00	 1.341E-01	-1.506E-01	 4.178E+03	 3.941E+01
    0.8000	 4.030E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 5.600E+01	 1.132E+01	 0.000E+00	 1.074E+03	 2.805E-02	-3.829E-02	 0.000E+00	 5.008E+03	-2.061E+02	 2.423E+03	 1.207E+02	-8.305E+00	-3.412E+03	 5.110E+03	-5.706E+02	 9.115E+02	 4.668E-01	 9.937E+01	-6.820E+03	 3.143E+02	 3.320E+03	 9.119E+02	 1.556E+02	-1.946E+02	 4.471E+02	 5.071E+03	 5.766E+03	-1.132E+02	 3.299E+00	-9.903E-01	-1.584E-01	 1.353E+02	-7.387E+00	 6.970E+02	 2.281E+02	 5.249E+03	-3.895E+01	 3.376E+00	-2.726E-01	-1.645E-01	 1.179E+02	 8.996E+01	 4.900E+02	-4.555E+02	 4.607E+03	-5.740E+01	 2.888E+00	-2.772E-01	-1.199E-01	 4.025E+03	 3.791E+01
