original_index,feature_name,relevance,redundancy,selection_score
0,global_u_mean,1.095726,0.863740,0.663856
1,global_v_mean,0.448647,0.286417,0.305438
2,global_w_mean,0.403386,0.214062,0.296356
3,global_u_std,0.928683,0.574748,0.641309
4,global_v_std,0.580151,0.581179,0.289562
5,global_w_std,0.562394,0.595446,0.264671
6,global_tke,1.017405,0.511544,0.761633
7,global_speed_max,0.925850,0.584250,0.633725
8,global_gust_factor,0.903030,0.605914,0.600072
9,global_grad_norm,0.854882,0.618417,0.545674
10,hub_u_mean,1.096530,0.812278,0.690391
11,hub_tke,0.992239,0.576310,0.704084
12,yaw_u_mean,1.086104,0.731086,0.720561
13,yaw_u_std,0.952324,0.628734,0.637958
14,tip_u_mean,1.055788,0.748166,0.681706
15,tip_speed_range,0.867515,0.611690,0.561670
16,corr_u_mean,1.100504,0.000000,1.100504
17,corr_tke,1.018051,0.673039,0.681532
18,corr_ti_u,0.958403,0.609799,0.653503
19,corr_flow_inclination,0.406146,0.204335,0.303978
20,corr_flow_direction,0.459908,0.277736,0.321039
21,vertical_shear_u,0.702790,0.475049,0.465265
22,vertical_shear_w,0.384995,0.231334,0.269329
23,vertical_shear_norm,0.702163,0.445719,0.479303
24,lateral_asymmetry_u,0.841089,0.438824,0.621677
25,lateral_asymmetry_v,0.431517,0.252945,0.305044
26,lateral_tke_diff,0.804959,0.335082,0.637418
27,lateral_asymmetry_speed,0.845526,0.420388,0.635333
28,global_ti_total,1.059363,0.700985,0.708870
29,global_anisotropy_ratio,0.827342,0.382975,0.635855
30,global_reynolds_stress,0.432930,0.265226,0.300317
31,hub_ti_total,1.008053,0.721426,0.647340
32,tip_vorticity_strength,0.940495,0.575687,0.652651
33,corr_turbulence_ratio,1.049532,0.661249,0.718907
34,global_curvature_mean,0.572614,0.594040,0.275594
35,global_laplacian_norm,0.838519,0.633320,0.521860
36,spatial_heterogeneity,1.008253,0.583936,0.716285
37,vertical_gradient_ratio,0.446046,0.208986,0.341553
38,lateral_gradient_ratio,0.874316,0.452459,0.648087
39,global_skewness_u,0.850928,0.459921,0.620968
40,global_kurtosis_u,0.776340,0.386100,0.583290
41,extreme_wind_ratio,0.871541,0.515610,0.613736
42,kinetic_energy_density,1.096038,0.741354,0.725361
43,shear_production_rate,0.462581,0.250991,0.337086
44,energy_cascade_indicator,1.053832,0.775921,0.665871
